class,lh_x1,lh_y1,lh_z1,lh_x2,lh_y2,lh_z2,lh_x3,lh_y3,lh_z3,lh_x4,lh_y4,lh_z4,lh_x5,lh_y5,lh_z5,lh_x6,lh_y6,lh_z6,lh_x7,lh_y7,lh_z7,lh_x8,lh_y8,lh_z8,lh_x9,lh_y9,lh_z9,lh_x10,lh_y10,lh_z10,lh_x11,lh_y11,lh_z11,lh_x12,lh_y12,lh_z12,lh_x13,lh_y13,lh_z13,lh_x14,lh_y14,lh_z14,lh_x15,lh_y15,lh_z15,lh_x16,lh_y16,lh_z16,lh_x17,lh_y17,lh_z17,lh_x18,lh_y18,lh_z18,lh_x19,lh_y19,lh_z19,lh_x20,lh_y20,lh_z20,lh_x21,lh_y21,lh_z21,rh_x1,rh_y1,rh_z1,rh_x2,rh_y2,rh_z2,rh_x3,rh_y3,rh_z3,rh_x4,rh_y4,rh_z4,rh_x5,rh_y5,rh_z5,rh_x6,rh_y6,rh_z6,rh_x7,rh_y7,rh_z7,rh_x8,rh_y8,rh_z8,rh_x9,rh_y9,rh_z9,rh_x10,rh_y10,rh_z10,rh_x11,rh_y11,rh_z11,rh_x12,rh_y12,rh_z12,rh_x13,rh_y13,rh_z13,rh_x14,rh_y14,rh_z14,rh_x15,rh_y15,rh_z15,rh_x16,rh_y16,rh_z16,rh_x17,rh_y17,rh_z17,rh_x18,rh_y18,rh_z18,rh_x19,rh_y19,rh_z19,rh_x20,rh_y20,rh_z20,rh_x21,rh_y21,rh_z21
Hello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208096579,0.477692217,0,0.24146466,0.492969304,-0.01040221,0.282946557,0.47517246,-0.016884942,0.305194616,0.447190076,-0.024986245,0.313398063,0.427396476,-0.032378484,0.306706935,0.422592133,-0.005730467,0.338320017,0.38533619,-0.020747077,0.353388995,0.379320532,-0.029569706,0.363736838,0.378052086,-0.034091715,0.293670416,0.406835645,-0.011617892,0.325410604,0.373579144,-0.025881354,0.342548281,0.370178789,-0.032693714,0.35495472,0.370306283,-0.036357749,0.276069671,0.396541029,-0.020727042,0.306266904,0.369870782,-0.03584167,0.32607317,0.365018964,-0.040710911,0.341976345,0.362292111,-0.042706128,0.254868835,0.39075458,-0.031723011,0.282371074,0.37177822,-0.043758444,0.300744504,0.366473615,-0.047685567,0.316786945,0.362291843,-0.049312841
Hello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198752701,0.473240048,0,0.238658518,0.4811427,-0.004137948,0.277269751,0.459853917,-0.007171258,0.293068588,0.429930747,-0.012674796,0.289756387,0.409509003,-0.018019021,0.296346664,0.406227708,0.00498425,0.323167324,0.372890115,-0.005523577,0.341609687,0.364588171,-0.013011336,0.355969757,0.361967087,-0.017135093,0.283445746,0.390676141,-0.002649283,0.313346565,0.358237863,-0.010702281,0.334512025,0.352155328,-0.016298644,0.351864189,0.353542775,-0.0201355,0.266310513,0.38143605,-0.013247331,0.297039807,0.351627767,-0.022659278,0.318790376,0.345323741,-0.027358202,0.336836696,0.345924526,-0.030086739,0.244903505,0.378108859,-0.025421284,0.272151738,0.354800582,-0.033520453,0.292056531,0.347037673,-0.036615588,0.309901536,0.344695002,-0.038280372
Hello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140987217,0.430104911,0,0.19255881,0.421916723,-0.004728169,0.235975683,0.385891646,-0.013223804,0.246695563,0.342335552,-0.025948912,0.232278153,0.315638363,-0.036548026,0.241568327,0.306818575,-0.003384748,0.267674387,0.252261937,-0.024076194,0.280353397,0.251287043,-0.034262106,0.286203682,0.26187548,-0.038653504,0.218910262,0.29642874,-0.015406677,0.244945854,0.246198431,-0.035943542,0.257631987,0.251683831,-0.042190794,0.264124423,0.263406515,-0.044086043,0.192922235,0.296271801,-0.030948156,0.213272989,0.261965901,-0.051041778,0.224438652,0.273310691,-0.052186981,0.231972724,0.288085252,-0.050008178,0.165984914,0.30477792,-0.048414443,0.188282579,0.284495026,-0.063394628,0.210568011,0.291019529,-0.065203555,0.228751123,0.301018298,-0.064042754
Hello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104215994,0.400011063,0,0.13969776,0.393624902,-0.019198099,0.173257768,0.360451013,-0.031497382,0.182798922,0.329677105,-0.044793874,0.165745795,0.308831036,-0.05705912,0.151144832,0.276358008,-0.015884925,0.158906251,0.22267279,-0.038375132,0.179686576,0.21782133,-0.054030374,0.195753664,0.229621202,-0.062232845,0.127231389,0.276084065,-0.019509027,0.139774024,0.225191563,-0.043156546,0.163441241,0.22900252,-0.05569474,0.177667379,0.249103308,-0.061284676,0.104716316,0.285768449,-0.027033469,0.117778704,0.244052961,-0.048384223,0.142009467,0.247836694,-0.05462211,0.156664997,0.267179221,-0.055623699,0.081132688,0.304014146,-0.037328001,0.093111552,0.271917403,-0.053348903,0.113848984,0.271719307,-0.05789626,0.128778785,0.283601642,-0.058639314
Hello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067001134,0.404458642,0,0.109457523,0.404199213,-0.020325772,0.150197402,0.376315475,-0.030627593,0.167341441,0.341242939,-0.041079048,0.158647552,0.307900637,-0.051832333,0.138984516,0.300711364,-0.009018524,0.157630578,0.246828407,-0.023755964,0.164860934,0.226965547,-0.035737339,0.168851525,0.215209037,-0.043748174,0.116963103,0.290904075,-0.011535143,0.137413174,0.230635285,-0.029907068,0.14545621,0.213944584,-0.045231476,0.15045923,0.213240415,-0.05391648,0.092874393,0.28950581,-0.017916761,0.112103119,0.234183937,-0.034539945,0.124041796,0.214093298,-0.048636079,0.134464309,0.206363618,-0.057095479,0.064930819,0.295557112,-0.026855269,0.078534991,0.254581243,-0.040382333,0.090118311,0.233701885,-0.051706091,0.101540685,0.218219444,-0.059441522
Hello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082067363,0.415025592,0,0.130796358,0.401983172,-0.012396289,0.169126377,0.364066541,-0.019106647,0.173887357,0.324149728,-0.027191982,0.152114332,0.30183661,-0.034258053,0.1490753,0.292170882,-0.002245413,0.158738479,0.24555999,-0.019346759,0.1728912,0.232986718,-0.031134704,0.182263434,0.233926177,-0.036969204,0.124938101,0.285336792,-0.007347926,0.138353586,0.236375391,-0.023986144,0.155246466,0.223634988,-0.034217939,0.166777238,0.224676475,-0.039565459,0.101474211,0.288499534,-0.01636821,0.115082443,0.246106237,-0.032203209,0.132728219,0.2338586,-0.038612302,0.146040812,0.233773217,-0.040903229,0.075879276,0.300115019,-0.027750269,0.087950818,0.264477938,-0.039529238,0.102359504,0.253194124,-0.043617733,0.114267372,0.249544784,-0.044994384
Hello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109917372,0.431591332,0,0.151485175,0.413047969,-0.010539607,0.182935193,0.373656511,-0.021045472,0.189362943,0.33924675,-0.034297053,0.189073861,0.31591633,-0.046715409,0.173631608,0.305684268,-0.010301879,0.192056417,0.266343594,-0.034648247,0.215392292,0.263167888,-0.051340584,0.233210593,0.274081081,-0.059949722,0.150689691,0.302038103,-0.019510103,0.172371864,0.256724805,-0.04584967,0.199985385,0.251942396,-0.061640922,0.220375568,0.261949331,-0.069562607,0.126019418,0.30571118,-0.032056756,0.147115111,0.26502195,-0.05466241,0.174991578,0.261508763,-0.063126348,0.19627516,0.270812184,-0.065992318,0.099710919,0.317763597,-0.046617504,0.117793858,0.287027001,-0.062842757,0.140520036,0.281785339,-0.067829646,0.159949958,0.285177618,-0.069390118
Hello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172338068,0.480565786,0,0.231953695,0.474583805,0.001629859,0.279544771,0.4416022,0.000369608,0.298520774,0.401651859,-0.00610289,0.297239304,0.376073778,-0.009292218,0.291236013,0.37021783,0.017582716,0.326017916,0.31743139,0.004993422,0.338053316,0.338849843,-0.00042191,0.338392049,0.362098515,-0.001341369,0.275225371,0.356886923,0.007028196,0.313332766,0.31294015,-0.003990369,0.326610565,0.335887253,-0.007424687,0.32687214,0.358082741,-0.007217354,0.255810231,0.351690322,-0.007194356,0.291205823,0.321613491,-0.019574147,0.308832496,0.340030879,-0.020369763,0.314882874,0.356875956,-0.017931497,0.234806567,0.353380501,-0.022941353,0.269086748,0.337678939,-0.032212533,0.292209268,0.34789592,-0.03271177,0.306061476,0.35791564,-0.03031514
